Playlist_ID,Album,Song_Name,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Time_Signature
1,Taylor Swift,Blank Space,0.748,0.678,7,-5.599,1,0.0601,0.128,0,0.0936,0.118,96.009,231453,4
2,1989,Style,0.704,0.719,11,-6.188,0,0.0623,0.0327,0,0.108,0.635,94.004,231067,4
3,1989,Shake It Off,0.735,0.798,5,-5.454,1,0.0977,0.0812,0,0.106,0.968,160.019,219200,4
4,1989,Delicate,0.594,0.648,1,-8.849,1,0.0603,0.122,0,0.119,0.374,95.967,229827,4
5,Fearless,Love Story,0.615,0.714,7,-4.932,1,0.0252,0.27,0,0.103,0.643,119.962,235893,4
6,Fearless,You Belong With Me,0.69,0.87,7,-3.428,1,0.0643,0.0523,0,0.155,0.732,148.007,231173,4
7,1989,Wildest Dreams,0.555,0.428,2,-7.006,1,0.0364,0.083,0,0.109,0.345,86.0,219440,4
8,Red,I Knew You Were Trouble.,0.678,0.868,11,-4.806,0,0.051,0.00821,0,0.0552,0.447,77.002,219160,4
9,Lover,The Man,0.64,0.626,4,-7.259,0,0.167,0.0711,0,0.113,0.534,119.965,190200,4
10,Lover,Lover,0.648,0.575,1,-7.226,1,0.091,0.08,0,0.113,0.544,99.972,221507,4
11,Lover,ME! (feat. Brendon Urie of Panic! At The Disco),0.756,0.678,6,-6.254,1,0.0559,0.0924,0,0.128,0.916,91.972,193040,4
12,Red,All Too Well,0.563,0.487,5,-8.334,1,0.0317,0.733,0,0.116,0.199,125.049,327893,4
13,Red,Red,0.556,0.825,9,-5.211,1,0.0455,0.0021,0,0.343,0.66,125.036,227960,4
14,Speak Now,Enchanted,0.649,0.71,0,-4.558,1,0.0386,0.104,0,0.138,0.417,131.947,325493,4
15,Red,I Almost Do,0.531,0.497,11,-6.746,1,0.0299,0.5,0,0.0918,0.212,85.99,239413,4
16,Speak Now,Sparks Fly,0.685,0.775,9,-5.748,1,0.0494,0.124,0,0.118,0.628,120.008,243693,4
17,Red,Holy Ground,0.652,0.814,11,-4.737,1,0.0384,0.0031,0,0.0835,0.66,117.976,202960,4
18,Fearless,Breathe,0.548,0.497,2,-7.04,1,0.0351,0.401,0,0.0888,0.29,90.018,269933,4
19,Taylor Swift,Our Song,0.616,0.809,7,-2.921,1,0.0623,0.00981,0,0.0649,0.836,99.973,189107,4
20,Fearless,Change,0.542,0.665,5,-5.072,1,0.0426,0.0557,0,0.116,0.402,89.963,244293,4
