album,theme,count
Taylor Swift,Apparel and Appearances,3
Taylor Swift,Arguments and Battles,3
Taylor Swift,Body Parts,16
Taylor Swift,Borders and Boundaries,3
Taylor Swift,Bright Lights and Shiny People,8
Taylor Swift,Buildings and Rooms,7
Taylor Swift,Celebrity and Publicity,1
Taylor Swift,Celestial Objects,5
Taylor Swift,Cold and Ice,1
Taylor Swift,Colors and Painting,5
Taylor Swift,Communication and Silence,4
Taylor Swift,Dancing,1
Taylor Swift,"Death, Ghosts, and Haunting",1
Taylor Swift,Deception and Secrets,3
Taylor Swift,Dreams,3
Taylor Swift,Family and Friends,6
Taylor Swift,Fate and Omens,1
Taylor Swift,"Films, Performances, and Photos",3
Taylor Swift,Fire,3
Taylor Swift,Furniture,1
Taylor Swift,Growing Up,4
Taylor Swift,Health and Substance Use,2
Taylor Swift,Highs and Heights,1
Taylor Swift,Honor and Integrity,1
Taylor Swift,Locations,6
Taylor Swift,Money and Treasure,2
Taylor Swift,Music and Writing,16
Taylor Swift,Name Drops,7
Taylor Swift,Perception,3
Taylor Swift,Plants,5
Taylor Swift,Relationships,5
Taylor Swift,Religion,1
Taylor Swift,Times and Seasons,8
Taylor Swift,Transportation and Roads,13
Taylor Swift,Water,5
Taylor Swift,Weather,3
Taylor Swift,Wounds and Weapons,2
Fearless,Aim and Hunting,2
Fearless,Apparel and Appearances,18
Fearless,Arguments and Battles,18
Fearless,Body Parts,80
Fearless,Borders and Boundaries,4
Fearless,Bright Lights and Shiny People,22
Fearless,Buildings and Rooms,44
Fearless,Celebrity and Publicity,6
Fearless,Celestial Objects,12
Fearless,Cold and Ice,2
Fearless,Colors and Painting,18
Fearless,Communication and Silence,24
Fearless,Crime,4
Fearless,Dancing,6
Fearless,"Death, Ghosts, and Haunting",4
Fearless,Deception and Secrets,12
Fearless,Dreams,16
Fearless,Fairytales and Kingdoms,14
Fearless,Family and Friends,28
Fearless,"Films, Performances, and Photos",24
Fearless,Fire,6
Fearless,Furniture,10
Fearless,"Games, Winning, and Losing",8
Fearless,Gender Roles,2
Fearless,Growing Up,30
Fearless,Health and Substance Use,8
Fearless,Highs and Heights,6
Fearless,Honor and Integrity,12
Fearless,Locations,18
Fearless,Money and Treasure,6
Fearless,Music and Writing,20
Fearless,Name Drops,20
Fearless,Perception,8
Fearless,Plants,8
Fearless,Relationships,26
Fearless,Religion,18
Fearless,School,8
Fearless,Times and Seasons,80
Fearless,Transportation and Roads,50
Fearless,Water,22
Fearless,Weather,26
Fearless,Wounds and Weapons,4
Speak Now,Accidents and Planning,6
Speak Now,Apparel and Appearances,24
Speak Now,Arguments and Battles,14
Speak Now,Body Parts,74
Speak Now,Borders and Boundaries,24
Speak Now,Bright Lights and Shiny People,16
Speak Now,Buildings and Rooms,42
Speak Now,Celebrity and Publicity,4
Speak Now,Celestial Objects,6
Speak Now,Cold and Ice,8
Speak Now,Colors and Painting,6
Speak Now,Communication and Silence,44
Speak Now,Crime,4
Speak Now,Dancing,8
Speak Now,"Death, Ghosts, and Haunting",14
Speak Now,Deception and Secrets,18
Speak Now,Dreams,6
Speak Now,Fairytales and Kingdoms,2
Speak Now,Family and Friends,32
Speak Now,Fate and Omens,6
Speak Now,"Films, Performances, and Photos",14
Speak Now,Fire,18
Speak Now,Furniture,12
Speak Now,"Games, Winning, and Losing",12
Speak Now,Gender Roles,4
Speak Now,Growing Up,50
Speak Now,Health and Substance Use,20
Speak Now,Highs and Heights,20
Speak Now,Honor and Integrity,6
Speak Now,Locations,18
Speak Now,Money and Treasure,4
Speak Now,Music and Writing,30
Speak Now,Name Drops,20
Speak Now,Perception,18
Speak Now,Plants,4
Speak Now,Relationships,28
Speak Now,Religion,18
Speak Now,School,12
Speak Now,Times and Seasons,64
Speak Now,Transportation and Roads,40
Speak Now,Water,14
Speak Now,Weather,24
Speak Now,Wounds and Weapons,26
Red,Accidents and Planning,8
Red,Aim and Hunting,8
Red,Apparel and Appearances,24
Red,Arguments and Battles,18
Red,Body Parts,84
Red,Borders and Boundaries,6
Red,Bright Lights and Shiny People,24
Red,Buildings and Rooms,68
Red,Celebrity and Publicity,24
Red,Celestial Objects,8
Red,Cold and Ice,6
Red,Colors and Painting,40
Red,Communication and Silence,44
Red,Crime,2
Red,Dancing,16
Red,"Death, Ghosts, and Haunting",12
Red,Deception and Secrets,4
Red,Dreams,24
Red,Family and Friends,16
Red,Fate and Omens,2
Red,"Films, Performances, and Photos",18
Red,Fire,8
Red,Furniture,16
Red,"Games, Winning, and Losing",8
Red,Gender Roles,10
Red,Growing Up,36
Red,Health and Substance Use,18
Red,Highs and Heights,6
Red,Honor and Integrity,8
Red,Locations,36
Red,Money and Treasure,18
Red,Music and Writing,36
Red,Name Drops,4
Red,Perception,18
Red,Plants,4
Red,Relationships,20
Red,Religion,18
Red,School,4
Red,STEM,6
Red,Times and Seasons,156
Red,Transportation and Roads,80
Red,Water,4
Red,Weather,6
Red,Wounds and Weapons,24
1989,Accidents and Planning,3
1989,Aim and Hunting,3
1989,Apparel and Appearances,12
1989,Arguments and Battles,8
1989,Body Parts,28
1989,Borders and Boundaries,3
1989,Bright Lights and Shiny People,12
1989,Buildings and Rooms,9
1989,Celebrity and Publicity,4
1989,Celestial Objects,5
1989,Cold and Ice,1
