Playlist ID,album,song,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Time Signature
1,Taylor Swift,Tim McGraw,0.58,0.491,0,-6.462,1,0.0251,0.575,0,0.121,0.425,76.009,232107,4
2,Taylor Swift,Picture To Burn,0.658,0.877,7,-2.098,1,0.0323,0.173,0,0.0962,0.821,105.586,173067,4
3,Taylor Swift,Teardrops On My Guitar - Radio Single Remix,0.621,0.417,10,-6.941,1,0.0231,0.288,0,0.119,0.289,99.953,203040,4
4,Taylor Swift,A Place in this World,0.576,0.777,9,-2.881,1,0.0324,0.051,0,0.32,0.428,115.028,199200,4
5,Taylor Swift,Cold As You,0.418,0.482,5,-5.769,1,0.0266,0.217,0,0.123,0.261,175.558,239013,4
6,Taylor Swift,The Outside,0.589,0.805,5,-4.055,1,0.0293,0.00491,0,0.24,0.591,112.982,207107,4
7,Taylor Swift,Tied Together with a Smile,0.479,0.578,2,-4.963,1,0.0294,0.525,0,0.0841,0.192,146.165,248107,4
8,Taylor Swift,Stay Beautiful,0.594,0.629,8,-4.919,1,0.0246,0.0868,0,0.137,0.504,131.597,236053,4
9,Taylor Swift,Should've Said No,0.476,0.777,4,-3.771,0,0.0289,0.0103,0,0.196,0.472,167.964,242200,4
10,Taylor Swift,Mary's Song (Oh My My My),0.403,0.627,2,-5.28,1,0.0292,0.0177,0,0.182,0.374,74.9,213080,4
11,Taylor Swift,Our Song,0.668,0.672,2,-4.931,1,0.0303,0.111,0,0.329,0.539,89.011,201107,4
12,Taylor Swift,I'm Only Me When I'm With You,0.563,0.934,8,-3.629,1,0.0646,0.00452,0.000807,0.103,0.518,143.964,213053,4
13,Taylor Swift,Invisible,0.612,0.394,7,-5.723,1,0.0243,0.637,0,0.147,0.233,96.001,203227,4
14,Taylor Swift,A Perfectly Good Heart,0.483,0.751,4,-5.726,1,0.0365,0.00349,0,0.128,0.268,156.092,220147,4
15,Fearless,Fearless,0.594,0.712,5,-4.418,1,0.0273,0.04,0,0.309,0.476,99.972,241987,4
16,Fearless,Fifteen,0.556,0.651,7,-4.396,1,0.0266,0.067,0,0.145,0.203,95.485,294333,4
17,Fearless,Love Story,0.618,0.741,2,-3.95,1,0.031,0.17,0,0.0822,0.296,118.984,235267,4
18,Fearless,Hey Stephen,0.841,0.544,6,-7.347,1,0.0309,0.194,2.48E-06,0.108,0.831,115.994,254307,4
19,Fearless,White Horse,0.578,0.34,0,-8.027,1,0.0264,0.305,0,0.104,0.223,92.702,234427,4
20,Fearless,You Belong With Me,0.687,0.783,6,-4.44,1,0.0386,0.162,1.35E-05,0.114,0.443,129.964,231133,4
21,Fearless,Breathe,0.505,0.482,1,-7.372,1,0.0276,0.379,0,0.113,0.184,73.975,263973,4
22,Fearless,Tell Me Why,0.604,0.855,7,-3.097,1,0.038,0.0571,3.65E-06,0.343,0.51,99.96,200547,4
23,Fearless,You're Not Sorry,0.475,0.452,6,-4.134,1,0.027,0.146,1.36E-06,0.108,0.276,133.959,261787,4
