year,category,nominee,workers,winner
2000,Album of the Year,Supernatural,"Santana (artist), Clive Davis (producer), Jerry 'Wonder' Duplessis (producer), Dust Brothers (producer), Alex Gonzales (producer), Charles Goodan (producer), Stephen M. Harris (producer), Lauryn Hill (producer), Art Hodge (producer), Wyclef Jean (producer), Fernando 'Fher' Olvera (producer), K.C. Porter (producer), Dante Ross (producer), Matt Serletic (producer), Mike Couzzi (engineer/mixer), Benny Faccone (engineer/mixer), Steve Ferrone (engineer/mixer), Steve Fontano (engineer/mixer), David Frazer (engineer/mixer), Jim Gaines (engineer/mixer), John Gamble (engineer/mixer), Comissioner Gordon (engineer/mixer), Andy Grassi (engineer/mixer), John Karpowich (engineer/mixer), Glen Kolotkin (engineer/mixer), Tom Lord Alge (engineer/mixer), Jeff Poe (engineer/mixer), Tony Prendatt (engineer/mixer), Anton Pukshansky (engineer/mixer), Warren Riker (engineer/mixer), Jim Scott (engineer/mixer), John Seymour (engineer/mixer), Matty Spindel (engineer/mixer), T-Ray (engineer/mixer), Chris Theis (engineer/mixer), David W. Thoener (engineer/mixer), Alvaro Villagra (engineer/mixer)",TRUE
2000,Best Album Notes,John Coltrane - The Classic Quartet: Complete Impulse! Studio Recordings,"Bob Blumenthal (album notes writer), John Coltrane (artist)",TRUE
2000,Best Alternative Music Performance,Mutations,Beck,TRUE
2000,Best Alternative Music Performance,Play,Moby,FALSE
2000,Best Alternative Music Performance,To Venus and Back,Tori Amos,FALSE
2000,Best Bluegrass Album,Ancient Tones,"Ricky Skaggs, The Kentucky Thunder",TRUE
2000,Best Boxed Recording Package,Miles Davis - The Complete Bitches Brew Sessions,"Ron Jaramillo (art director), Arnold Levine (art director), Miles Davis (artist)",TRUE
2000,Best Chamber Music Performance,"Beethoven: The Violin Sonatas (Nos. 1-3, Op. 12; Nos. 1-3, Op. 30; Spring Sonata)","Anne-Sophie Mutter (artist), Lambert Orkis (artist)",TRUE
2000,Best Choral Performance,Britten: War Requiem,"Robert Shafer (conductor), Maryland Boys Choir (artist), Shenandoah Conservatory Chorus (artist), The Washington Choir (artist)",TRUE
2000,Best Classical Album,Stravinsky: Firebird; The Rite Of Spring; Perséphone,"Michael Tilson Thomas (artist), Andreas Neubronner (producer)",TRUE
