Year,Category,Album/Song,Workers,Artist,Winner
2001,Best R&B Song,Say My Name,"Rodney Jerkins (songwriter), Fred Jerkins (songwriter), Beyoncé (songwriter), LeToya Luckett-Walker (songwriter), LaTavia Roberson (songwriter), Kelly Rowland (songwriter), Destiny's Child (artist), Lashawn Daniels (songwriter)",Beyoncé,TRUE
2004,Best Contemporary R&B Album,,"Beyoncé (artist/producer), Tony Maserati (engineer/mixer)",Beyoncé,TRUE
2004,Best Female R&B Vocal Performance,Dangerously in Love,Beyoncé,Beyoncé,TRUE
2004,Best R&B Song,Crazy In Love,"Jay-Z (artist/songwriter), Beyoncé (artist/songwriter), Rich Harrison (songwriter)",Beyoncé,TRUE
2004,Best R&B Vocal Performance by a Duo or Group,The Closer I Get to You,"Beyoncé, Luther Vandross",Beyoncé,TRUE
2004,Best Rap/Sung Collaboration,Crazy in Love,"Jay-Z, Beyoncé",Beyoncé,TRUE
2004,"Best Remixed Recording, Non-Classical",Crazy In Love (Maurice's Soul Mix),"Maurice Joshua (remixer), Beyoncé (artist), Jay-Z (artist)",Beyoncé,TRUE
2006,Best R&B Vocal Performance by a Duo or Group,So Amazing,"Beyoncé, Stevie Wonder",Beyoncé,TRUE
2007,Best Contemporary R&B Album,B'Day,"Beyoncé (artist), Jim Caruana (engineer/mixer), Jason Goldstein (engineer/mixer)",Beyoncé,TRUE
2007,Best Rap/Sung Collaboration,Deja Vu,"Jay-Z, Beyoncé",Beyoncé,FALSE
2008,"Best Compilation Soundtrack Album for Motion Picture, Television or Other Visual Media",Dreamgirls,"Beyoncé (artist), Jennifer Hudson (artist), Anika Noni Rose (artist), Harvey Mason Jr. (producer), Randy Spendlove (producer), Matthew Rush Sullivan (producer), Damon Thomas (producer)",Beyoncé,FALSE
2008,Best Pop Collaboration with Vocals,Beautiful Liar,"Beyoncé, Shakira",Beyoncé,FALSE
2010,Best Contemporary R&B Album,I Am... Sasha Fierce.,Beyoncé,Beyoncé,TRUE
2010,Best Female Pop Vocal Performance,Halo.,Beyoncé,Beyoncé,TRUE
2010,Best Female R&B Vocal Performance,Single Ladies (Put a Ring on It).,Beyoncé,Beyoncé,TRUE
2010,Best R&B Song,Single Ladies (Put a Ring on It).,"Beyoncé (Songwriter), Kuk Harrell (Songwriter), The-Dream (Songwriter), Christopher Stewart (Songwriter)",Beyoncé,TRUE
2010,Best Traditional R&B Performance,At Last.,Beyoncé,Beyoncé,TRUE
2010,Best Traditional R&B Vocal Performance,At Last,Beyoncé (artist),Beyoncé,TRUE
2010,Song of the Year,Single Ladies (Put a Ring on It).,"Beyoncé (Songwriter), The-Dream (Songwriter), Christopher Stewart (Songwriter), Kuk Harrell (Songwriter)",Beyoncé,TRUE
