Theme,Song,Album Era,Lyric
Accidents and Planning,Mastermind,Midnights,And I swear / I'm only cryptic and Machiavellian 'cause I care
Accidents and Planning,Mastermind,Midnights,"On your face, you knew the entire time / You knew that I'm a mastermind"
Accidents and Planning,Paris,Midnights,I'm so in love that I might stop breathing / Drew a map on your bedroom ceiling
Accidents and Planning,High Infidelity,Midnights,Do I really have to chart the constellations in his eyes?
Accidents and Planning,… Dear Reader,Midnights,"Dear reader / Get out your map, pick somewhere and just run"
Accidents and Planning,Sweet Nothing,Midnights,"You say, ""What a mind"" / This happens all the time"
Accidents and Planning,Mastermind,Midnights,The dominoes cascaded in a line / What if I told you I'm a mastermind?
Accidents and Planning,"Would've, Could've, Should've",Midnights,The wound won't close / I keep on waiting for a sign / I regret you all the time
Accidents and Planning,The Story Of Us,Speak Now,"I don't know what to say / Since a twist of fate, when it all broke down"
Accidents and Planning,Long Live,Speak Now,Confetti falls to the ground / May these memories break our fall / Will you take a moment / Promise me this / That you'll stand by me forever / But if —God forbid— fate should step in
Accidents and Planning,Foolish One,Speak Now,"Chances are, tonight, you've already got plans"
Accidents and Planning,State of Grace,Red,These are the hands of fate / You're my Achilles heel / This is the golden age of something good and right and real
Accidents and Planning,Eyes Open,Red,"So here you are, two steps ahead and staying on guard / Every lesson forms a new scar"
Accidents and Planning,Babe,Red,"What a waste / Taking down the pictures and the plans we made, yeah"
Accidents and Planning,Nothing New,Red,"She'll know the way, and then she'll say she got the map from me / I'll say I'm happy for her, then I'll cry myself to sleep"
Accidents and Planning,Out of the Woods,1989,Remember when you hit the brakes too soon? / Twenty stitches in a hospital room
Accidents and Planning,Shake It Off,1989,I'm dancin' on my own (dancin' on my own) / I make the moves up as I go (moves up as I go)
Accidents and Planning,Look What You Made Me Do,1989,"The world moves on, another day another drama, drama / But not for me, not for me, all I think about is karma"
Accidents and Planning,End Game,reputation,"And I bury hatchets but I keep maps of where I put 'em,"
Accidents and Planning,I Did Something Bad,reputation,"If a man talks shit, then I owe him nothing / I don't regret it one bit, 'cause he had it comin'"
Accidents and Planning,Gorgeous,reputation,"""X"" marks the spot where we fell apart"
Accidents and Planning,Paper Rings,Lover,"I hate accidents, except when we went from friends to this"
Accidents and Planning,The Man,Lover,Every conquest I had made would make me more of a boss to you
Accidents and Planning,The Man,Lover,What I was wearing / If I was rude / Could all be separated from my good ideas and power moves?
Accidents and Planning,I Think He Knows,Lover,"I am an architect, I'm drawing up the plans"
Accidents and Planning,Death by a Thousand Cuts,Lover,Quiet my fears with the touch of your hand / Paper cut stings from our paper thin plans
Accidents and Planning,invisible string,folklore,"Time, curious time / Gave me no compasses, gave me no signs / Were there clues I didn't see?"
