theme,description,item_count
Accidents and Planning,"Accidents, maps, plans, fate",44
Aim and Hunting,"Aim, hunting, prey",19
Apparel and Appearances,Clothing and make up,93
Arguments and Battles,"Arguments, battles, war",84
Body Parts,"Eyes, hands, hair, feet, etc",311
Borders and Boundaries,"Cages, walls, fences",44
Bright Lights and Shiny People,"Bright lights, fading/dark, shiny people",103
Buildings and Rooms,"Homes, rooms, part of a building",170
Celebrity and Publicity,Comments on celebrity and fame,60
Celestial Objects,"Skies, stars, sun, moon, planets",62
Cold and Ice,"Cold, Ice, freezing",29
Colors and Painting,"Colors and painting. For related colors, refer to Plants > flowers and Money and treasure > Precious gems",122
Communication and Silence,"Letters, notes, phone, and other types of communication methods",96
Crime,"Arson, grave robbing, murder theft, etc",47
Dancing,Lyrics on dancing,36
"Death, Ghosts, and Haunting"," Ghosts, haunting, death, resurrection",67
Deception and Secrets,Lyrics on deception or secrets,60
Dreams,Lyrics on dreams,53
Fairytales and Kingdoms,"Includes fairytale elements like kings, queens, monsters, magic, heroes, enemies, and more",86
Family and Friends,"Family, family members, friends",107
Fate and Omens,"Fate, destiny, and signs",19
"Films, Performance, and Photos","Film, moves, scenes, TV, photographs",69
Fire,"Ashes, burning, fire, ",73
Furniture,"Beds, chairs, couches, tables, and more",40
"Games, Winning, and Losing","Earning points, keeping score, winning, losing, rules",73
Gender Roles,"Lyrics on gender roles for men, women, and both",48
Growing Up,"Specific ages, being a child, growing up, reaching adulthood and maturity",91
Health and Substance Use,"Physical health, mental health, mentions of substances",128
Highs and Heights,"Cliffs, flying, elevators, being high above everything",46
Honor and Integrity,Lyrics on honor and dishonor,24
Locations,"Towns, cities, city names, places to hang out",121
Money and Treasure,"Crown, treasure, money, jewelry, gemstones",65
Music and Writing,"Stories, tales, words, lyrics, music, songs",104
Name Drops,"References to pop culture and other media, like other singers, artists, book, main characters in stories,",60
Perception,Collection of how Taylor is perceived. ,108
Plants,"Trees, bushes, grass, flowers, specific flowers. For relation to colors, refer to Colors and Money and treasure > Precious gems",51
Relationships,"Marriage, infidelity, and other people",98
Religion,"Heaven, hell, religious symbols",82
School,"Prom, homecoming, grades, lessons, teaching",33
STEM,"Seismology, Chemistry, and more",11
Times and Seasons,"Seasons, times of day, months, weeks, nights",288
Transportation and Roads,"Air, Water, Ground, cars, boats, trains, roads, and road-related symbols",203
Water,"Lakes, oceans, ponds, streams, puddles, rain",73
Weather,"Storms, sun, rain",57
Wounds and Weapons,"Weapons, scars, cuts, wounds",112
